Epsiode Cummulative Reward: -255.37121784687042, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -184.16043829917908, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -46.12908333539963, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1071.2126714587212, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 348.4339001774788, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -286.8477671146393, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -161.82679623365402, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -5.9604644775390625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 701.8656666874886, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 35.261186480522156, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 686.7537066936493, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 754.7574536204338, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.2516975402832031e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 78.07835721969604, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.5497207641601562e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.5497207641601562e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -8.344650268554688e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 471.82836174964905, Episode Timestpes: 1053,
Epsiode Cummulative Reward: 803.4514715075493, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 91.51119536161423, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 752.2387921214104, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 112.48951327800751, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 105.78357857465744, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1637.1268502473831, Episode Timestpes: 3251,
Epsiode Cummulative Reward: 57.92910444736481, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 804.2910385727882, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 109.14178919792175, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 756.4365509152412, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -5.0067901611328125e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1653.0783462524414, Episode Timestpes: 2558,
Epsiode Cummulative Reward: 920.9887828230858, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1063.7126759290695, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1088.0596895217896, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 64.64552313089371, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 722.8544573187828, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.002716064453125e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 459.23507112264633, Episode Timestpes: 1299,
Epsiode Cummulative Reward: 722.8544694185257, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 858.022363781929, Episode Timestpes: 4500,
